,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15354,NaN,[Japan],2,838,tt1361566,8.3,The House of Small Cubes (2008)
15355,NaN,[France],2,72,tt0302346,3.0,Blanche (2002)
15356,NaN,[France],1,279,tt0418847,6.1,La maison de Nina (2005)
15357,"$1,000,000",[USA],1,381,tt0496328,5.6,Itty Bitty Titty Committee (2007)
15358,"$185,000",[USA],1,20,tt0078405,5.2,The Toolbox Murders (1978)
15359,"$250,000",[USA],1,354,tt1845893,6.5,X-Ray Earth (TV Movie 2011)
15360,NaN,"[Canada, Czech Republic]",1,675,tt0106539,2.7,Chained Heat II (1993)
15361,NaN,"[UK, Germany, USA]",1,205,tt0178997,5.8,You're Dead... (1999)
15362,NaN,[USA],1,69,tt0338467,6.1,High Roller: The Stu Ungar Story (2003)
15363,"$55,000,000",[USA],3,2354,tt0338466,5.8,Stuck on You (2003)
15364,NaN,[USA],1,181,tt0084489,6.3,Personal Best (1982)
15365,NaN,[Japan],1,138,tt0161979,7.3,Sureiyâzu return (1996)
15366,NaN,[USA],2,1262,tt0075648,5.5,Airport '77 (1977)
15367,NaN,"[UK, Germany, France, Italy]",2,404,tt0255321,7.0,Liam (2000)
15368,"$20,000,000",[USA],4,8316,tt2215285,4.6,Madea's Witness Protection (2012)
15369,NaN,[USA],1,594,tt0092641,6.5,Best Seller (1987)
15370,NaN,"[France, Italy]",2,1061,tt0055904,6.9,The Devil and the Ten Commandments (1962)
15371,NaN,"[USA, Israel, South Africa]",1,821,tt0161970,3.3,Shark Attack (TV Movie 1999)
15372,"$28,000,000",[USA],9,10020,tt0092644,6.4,Beverly Hills Cop II (1987)
15373,"$2,000,000",[USA],1,293,tt0245901,3.9,The Flying Dutchman (TV Movie 2001)
15374,"$6,000,000",[USA],3,1874,tt0095690,6.1,Mystic Pizza (1988)
15375,NaN,"[Canada, China, UK]",1,386,tt1512201,7.7,Gui tu lie che (2009)
15376,NaN,[France],2,911,tt0050260,6.2,Crazy in the Noodle (1957)
