ID,Category,genre
1486240,rock,rock
1486234,rock,rock
1486229,rock,rock
1486223,rock,rock
1486220,Hip-hop,rap
1486219,Electronic,trance/techno
1486218,Electronic,trance/techno
1486217,Electronic,trance/techno
1486216,Electronic,trance/techno
1486215,Electronic,psychedelic/acid/goa
1486214,Electronic,trance/techno
1486213,Electronic,trance/techno
1486212,Electronic,trance/techno
1486211,rock,rock'n'roll
1486210,Electronic,trance/techno
1486209,Electronic,trance/techno
1486208,rock,rock'n'roll
1486207,Electronic,house
1486206,Electronic,trance/techno
1486205,Electronic,trance/techno
1486204,Electronic,trance/techno
1486203,Electronic,trance/techno
1486202,Electronic,trance/techno
1486201,Electronic,electronic
1486200,Electronic,trance/techno
1486199,Electronic,trance/techno
1486198,Electronic,trance/techno
1486197,Electronic,house
1486196,Electronic,trance/techno
1486195,Electronic,trance/techno
1486194,Electronic,trance/techno
1486193,Electronic,trance/techno
1486191,Electronic,trance/techno
1486190,Electronic,trance/techno
1486189,Electronic,trance/techno
1486188,Electronic,trance/techno
1486187,Electronic,house
1486186,Electronic,trance/techno
1486185,Electronic,trance/techno
1486184,Electronic,trance/techno
1486183,Electronic,trance/techno
1486179,rock,rock
1486179,rock,dark-rock
1486170,Electronic,psychedelic/acid/goa
1486170,Electronic,psychedelic/acid/goa
1486160,Electronic,psychedelic/acid/goa
1486160,rock,rock
1486160,Electronic,trance/techno
1486159,Electronic,psychedelic/acid/goa
1486159,rock,rock
1486159,Electronic,trance/techno
1486139,Pop,europop
1486139,Pop,synthpop
1486139,Electronic,electronic
1486139,Pop,dicso
1486132,Other,classical
1486130,rock,hardcore
1486130,rock,rock
1486129,Electronic,electronic
1486129,Pop,synthpop
1486126,rock,punk
1486123,rock,punk
1486120,Electronic,trance/techno
1486119,Electronic,trance/techno
1486118,Electronic,trance/techno
1486117,Electronic,trance/techno
1486116,Electronic,house
1486115,Electronic,house
1486114,Electronic,trance/techno
1486113,Electronic,trance/techno
1486112,Electronic,house
1486111,Electronic,house
1486110,Electronic,trance/techno
1486109,Electronic,trance/techno
1486108,Electronic,trance/techno
1486107,Electronic,trance/techno
1486105,Electronic,trance/techno
1486104,Electronic,trance/techno
1486103,Electronic,trance/techno
1486102,Electronic,trance/techno
1486101,Electronic,trance/techno
1486100,Electronic,trance/techno
1486099,Electronic,trance/techno
1486098,Electronic,trance/techno
1486097,Electronic,trance/techno
1486096,Electronic,house
1486095,Electronic,trance/techno
1486094,Electronic,trance/techno
1486093,rock,hardcore
1486092,Electronic,trance/techno
1486091,rock,hardcore
1486090,Electronic,psychedelic/acid/goa
1486090,Electronic,psychedelic/acid/goa
1486090,Electronic,trance/techno
1486087,Electronic,psychedelic/acid/goa
1486087,rock,rock
1486087,Electronic,trance/techno
1486083,Electronic,psychedelic/acid/goa
1486083,Electronic,psychedelic/acid/goa
1486082,Electronic,psychedelic/acid/goa
1486082,Electronic,psychedelic/acid/goa
1486059,rock,rock
1486059,rock,dark-rock
1486059,rock,dark-rock
1486059,rock,dark-rock
1486053,rock,punk
1486053,rock,punk
1486041,Electronic,trance/techno
1486038,Electronic,trance/techno
1486037,Electronic,trance/techno
1486035,Electronic,trance/techno
1486030,Electronic,trance/techno
1486029,Electronic,trance/techno
1486028,Electronic,trance/techno
1486027,Electronic,trance/techno
1486026,rock,hardcore
1486021,Electronic,trance/techno
1486020,Electronic,trance/techno
1486019,Electronic,trance/techno
1486018,Electronic,trance/techno
1486017,Electronic,trance/techno
1486008,Electronic,trance/techno
1486007,Electronic,trance/techno
1486006,Electronic,trance/techno
1486005,Electronic,trance/techno
1486004,Electronic,trance/techno
1485997,Electronic,psychedelic/acid/goa
1485996,Electronic,psychedelic/acid/goa
1485995,Electronic,trance/techno
1485994,Electronic,trance/techno
1485993,Electronic,trance/techno
1485992,Electronic,trance/techno
1485991,Electronic,trance/techno
1485990,Electronic,psychedelic/acid/goa
1485989,Electronic,trance/techno
1485988,Electronic,psychedelic/acid/goa
1485980,Electronic,trance/techno
1485979,Electronic,trance/techno
1485978,Electronic,trance/techno
1485977,rock,hardcore
1485976,rock,hardcore
1485975,Electronic,house
1485961,Electronic,house
1485960,Electronic,house
1485958,Electronic,house
1485957,Electronic,house
1485956,Electronic,house
1485955,Electronic,house
1485954,Electronic,trance/techno
1485953,Electronic,trance/techno
1485952,Electronic,trance/techno
1485951,Electronic,trance/techno
1485941,Electronic,house
1485931,Electronic,trance/techno
